Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,1324.0999755859375,1342.0,1320.199951171875,1335.8499755859375,1241.9129638671875,303104
2019-06-28,1341.9000244140625,1349.9000244140625,1332.699951171875,1345.0999755859375,1250.5126953125,714198
2019-07-01,1345.0,1355.0,1335.0,1350.699951171875,1255.7188720703125,257346
2019-07-02,1350.699951171875,1354.9000244140625,1332.3499755859375,1345.8499755859375,1251.209716796875,233615
2019-07-03,1345.0,1345.0,1332.199951171875,1333.6500244140625,1239.8680419921875,167033
2019-07-04,1327.0,1348.800048828125,1323.550048828125,1338.1500244140625,1244.0513916015625,316523
2019-07-05,1338.1500244140625,1339.0,1318.050048828125,1323.5,1230.431884765625,143633
2019-07-08,1317.0,1318.0,1303.75,1311.050048828125,1218.8570556640625,442275
2019-07-09,1327.949951171875,1337.9000244140625,1284.949951171875,1314.75,1222.2967529296875,1517586
2019-07-10,1305.0999755859375,1316.699951171875,1299.0,1308.75,1216.7188720703125,882310
2019-07-11,1313.0,1326.9000244140625,1287.199951171875,1317.25,1224.620849609375,1089612
2019-07-12,1337.0,1351.800048828125,1331.050048828125,1347.449951171875,1252.6968994140625,1319171
2019-07-15,1354.0,1354.0,1342.25,1345.800048828125,1251.16357421875,379597
2019-07-16,1347.3499755859375,1349.300048828125,1342.300048828125,1345.199951171875,1250.6055908203125,249404
2019-07-17,1342.5,1349.300048828125,1342.5,1345.9000244140625,1251.25634765625,472862
2019-07-18,1343.5999755859375,1350.5,1337.699951171875,1342.449951171875,1248.048828125,433600
2019-07-19,1341.0,1350.9000244140625,1341.0,1346.75,1252.046875,546932
2019-07-22,1345.5,1346.5999755859375,1340.6500244140625,1343.449951171875,1248.97900390625,403559
2019-07-23,1343.300048828125,1358.0,1341.0,1353.3499755859375,1258.1822509765625,792032
2019-07-24,1329.800048828125,1354.6500244140625,1326.0999755859375,1341.800048828125,1247.444580078125,932278
2019-07-25,1311.0,1346.0,1281.5999755859375,1333.699951171875,1239.91455078125,736125
2019-07-26,1316.199951171875,1321.949951171875,1230.0,1273.8499755859375,1184.2728271484375,1144563
2019-07-29,1273.8499755859375,1280.25,1193.1500244140625,1206.199951171875,1121.3800048828125,677643
2019-07-30,1200.0,1231.6500244140625,1192.3499755859375,1202.550048828125,1117.9866943359375,798966
2019-07-31,1195.1500244140625,1221.75,1178.0999755859375,1203.550048828125,1118.91650390625,440609
2019-08-01,1199.0,1210.550048828125,1185.5,1202.699951171875,1118.1263427734375,389327
2019-08-02,1196.199951171875,1204.4000244140625,1178.550048828125,1198.699951171875,1114.4073486328125,304222
2019-08-05,1191.199951171875,1213.4000244140625,1191.199951171875,1205.3499755859375,1120.58984375,229561
2019-08-06,1192.5,1230.0,1192.5,1220.75,1134.9068603515625,147611
2019-08-07,1224.0,1250.0,1214.800048828125,1238.699951171875,1151.5946044921875,185957
2019-08-08,1234.0,1298.0,1218.050048828125,1276.449951171875,1186.6900634765625,365334
2019-08-09,1280.0,1309.800048828125,1257.550048828125,1300.0999755859375,1208.67724609375,453152
2019-08-13,1312.0,1324.9000244140625,1280.199951171875,1312.949951171875,1220.62353515625,397956
2019-08-14,1314.0,1342.0,1293.300048828125,1316.8499755859375,1224.249267578125,354090
2019-08-16,1295.0,1316.0,1260.75,1289.300048828125,1198.6363525390625,284592
2019-08-19,1286.0,1329.9000244140625,1271.0,1325.3499755859375,1232.1514892578125,248666
2019-08-20,1325.0,1398.0999755859375,1316.3499755859375,1375.050048828125,1278.356689453125,625207
2019-08-21,1370.0,1383.5,1356.25,1365.449951171875,1269.431640625,324167
2019-08-22,1367.9000244140625,1374.949951171875,1351.75,1360.699951171875,1265.0155029296875,176916
